nome da ação;codigo da ação
ACARACOACARAPNA PNA;ACCC5L
ADVANCED-DH ON;ADHM3
ADVANCED-DH ON;ADHM9
ADVANCED-DH ON;ADHM1
Aeris Industria E Comerc... ON;AERI3
AES Brasil Energia ON;AESB3
AES TIETE E;TIET-DEB43L0
AES TIETE E;TIET-DEB43B0
AES TIETE E;TIET-DEB43L1
AES TIETÊ ON;TIET3
AES TIETÊ PN;TIET4
AFLUENTE ON;AFLT3
Agro Industrial De Cerea... PNB;AGVE6L
Agro Industrial De Cerea... PNA;AGVE5L
Agro Pontal PNA PNA;AGPP5L
Agroindustrial e Pastori... PNA;AIPN5L
AGROMASSA PNA PNA;ARSA5L
Agropecuaria Belo Horizo... PNA;AGBH5L
Agropecuaria Buriti PNA;BURI5L
Agropecuaria Ricastro PNA;RCRO5L
Agropecuaria Santa Rosa PNA;AGSR5L
Agropecuaria Serra Azul PNA;AGSA5L
Agropecuaria Vale Rio Acre PNC;VLRA7L
Agropecuaria Vale Rio Acre PNA;VLRA5L
ALFA ON;RPAD3
ALFA PNB;RPAD6
ALFA PNA;RPAD5
Allied Tecnologia ON;ALLD3
Allpark Empreendimentos ... ON;ALPK3
ALPER ON;APER1
ALPER ON;APER9
ALPER ON;APER3
Alphaville ON;AVLL3
Alphaville ON;AVLL11
Alumazon Componentes Ama... PNA;ALMZ5L
Aluminio Extrudado Brasi... PN;ALMN4L
ALUPAR ON;ALUP3
ALUPAR PN;ALUP4
Amazon Golf PNA;AZGT5L
AMBEV S/A ON;ABEV3
Ambipar Participacoes e ... ON;AMBP3
B2W DIGITAL ON;BTOW3
Americanas ON;AMER3
AMPLA ENERG ON;CBEE3
Andrade Gutierrez Partic... ON;CANT3B
Andrade Gutierrez Partic... ON;CANT3
Andrade Gutierrez Partic... PN;CANT4
Andrade Gutierrez Partic... PN;CANT4B
Angelica Pna PNA;SAIS5L
ANIMA ON;ANIM3
APIACAS PNA PNA;APAK5L
Araguaia PNB;AHEV6L
AREZZO ON;ARZZ3
Arteris;ARTR-DEB53L0
Arteris;ARTR-DEB53L1
Arteris;ARTR-DEB53B0
Arteris;ARTR-DEB530B
ATMA ON;ATMP3
ATOMPAR ON;ATOM3
Avicola Princesa PNA;AVIP5L
AZEVEDO PN;AZEV4
AZEVEDO ON;AZEV3
AZEVEDO PN;AZEV2
AZEVEDO ON;AZEV1
AZUL PN;AZUL4
B2W DIGITAL ON;BTOW1
B2W DIGITAL ON;BTOW9
B3 SA - Brasil Bolsa Bal... ON;B3SA3
BAHEMA EDUCAÇÃO ON;BAHI3
BAHEMA ON;BAHI9
BAHEMA EDUCAÇÃO ON;BAHI11
BMG PN;BMGB4
BTG PACTUAL PNA;BPAC12
BTG PACTUAL ON;BPAC3
BTG PACTUAL PNA;BPAC5
BTG PACTUAL ON;BPAC9
BANCO INTER ON;BIDI14
BANCO INTER;BIDI13
BANCO INTER PN;BIDI10
BANCO INTER PN;BIDI15
BANCO INTER ON;BIDI3
BANCO INTER ON;BIDI9
BANCO INTER PN;BIDI4
BANCO INTER ON;BIDI1
BANCO INTER;BIDI16
BANCO INTER PN;BIDI2
BANCO PAN PN;BPAN10
BANCO PAN PN;BPAN4
SANTANDER BR PN;SANB4
SANTANDER BR ON;SANB3
BANESTES PN;BEES4
BANESTES ON;BEES3
BARDELLA ON;BDLL3
BARDELLA PN;BDLL4
BATTISTELLA ON;BTTL3
BAUMER ON;BALM3
BAUMER PN;BALM4
BBM LOGÍSTICA ON;BBML3
BB SEGURIDADE ON;BBSE3
ABC BRASIL PN;ABCB10
ABC BRASIL PN;ABCB4
ABC BRASIL PN;ABCB10L
ABC BRASIL PN;ABCB2
ALFA INVEST ON;BRIV3
ALFA INVEST PN;BRIV4
AMAZONIA ON;BAZA3
BRADESCO PN;BBDC4
BRADESCO ON;BBDC3
BANCO DO BRASIL ON;BBAS3
BANCO DO BRASIL ON;BBAS12
BANCO DO BRASIL ON;BBAS11
BANCO BANPARÁ ON;BPAR3
BANRISUL PNA;BRSR5
