"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"12/03/2020","85.103","73.281","-13,96","68.488","85.103","17,70B"
"16/03/2020","82.565","71.168","-13,92","70.855","82.565","40,85B"
"09/03/2020","97.982","86.050","-12,19","87.955","97.982","16,94B"
"18/03/2020","74.576","66.895","-10,35","63.547","74.576","29,29B"
"11/03/2020","92.202","85.171","-7,64","80.796","92.202","34,26B"
"26/02/2020","113.647","105.718","-7,00","105.053","113.647","33,16B"
"24/04/2020","79.667","75.208","-5,60","72.041","79.667","36,43B"
"27/03/2020","77.708","73.429","-5,51","73.057","77.708","23,84B"
"23/03/2020","67.067","63.570","-5,22","62.161","67.604","25,25B"
"22/02/2021","118.388","112.668","-4,87","111.650","118.388","88,55B"
"05/03/2020","107.217","102.233","-4,65","100.536","107.217","30,18B"
"28/10/2020","99.598","95.369","-4,25","95.369","99.598","27,13B"
"06/03/2020","102.231","97.997","-4,14","96.886","102.231","39,77B"
"08/03/2021","115.202","110.612","-3,98","110.268","115.202","49,39B"
"03/04/2020","72.241","69.538","-3,76","67.802","72.241","22,27B"
"27/01/2020","118.347","114.482","-3,29","114.376","118.347","23,80B"
"29/01/2021","118.880","115.068","-3,21","114.973","118.880","37,05B"
"30/04/2020","83.169","80.506","-3,20","80.168","83.169","27,42B"
"30/07/2021","125.672","121.801","-3,08","121.748","125.673","39,11B"
"25/02/2021","115.668","112.358","-2,86","111.764","116.506","n/d"
"01/04/2020","73.011","70.967","-2,81","69.569","73.011","21,88B"
"30/10/2020","96.579","93.952","-2,72","93.559","96.579","32,35B"
"31/08/2020","102.142","99.369","-2,72","99.369","102.142","32,52B"
"12/05/2021","122.964","119.710","-2,65","119.458","122.964","49,65B"
"27/02/2020","105.711","102.984","-2,59","102.984","106.656","39,52B"
"15/01/2021","123.472","120.349","-2,54","120.185","123.472","9,39M"
"10/09/2020","101.291","98.835","-2,43","98.687","101.536","27,35B"
"28/09/2020","97.005","94.666","-2,41","94.371","98.314","28,52B"
"26/06/2020","95.979","93.834","-2,24","93.514","95.979","23,15B"
"12/11/2020","104.810","102.507","-2,20","102.034","105.019","34,97B"
"31/03/2020","74.629","73.020","-2,17","73.104","75.511","17,65B"
"10/06/2020","96.747","94.686","-2,13","94.665","97.646","33,77B"
"26/02/2021","112.260","110.035","-2,07","109.827","113.466","54,77B"
"04/05/2020","80.501","78.876","-2,02","77.640","80.502","19,33B"
"31/07/2020","105.010","102.912","-2,00","102.642","105.462","34,69B"
"12/06/2020","94.677","92.795","-2,00","90.811","94.703","35,60B"
"23/07/2020","104.291","102.293","-1,91","102.119","104.949","29,35B"
"21/12/2020","118.021","115.823","-1,87","114.730","118.021","63,52B"
"20/03/2020","68.344","67.069","-1,85","66.120","72.247","30,68B"
"15/05/2020","79.011","77.557","-1,84","77.426","79.538","25,98B"
"18/09/2020","100.098","98.290","-1,81","98.045","100.102","30,56B"
"25/06/2021","128.433","127.256","-1,74","126.697","129.748","37,09B"
"17/08/2020","101.348","99.595","-1,73","98.513","101.689","45,31B"
"13/01/2021","123.996","121.933","-1,67","121.016","124.032","66,97B"
"24/06/2020","95.974","94.377","-1,66","93.259","95.974","25,94B"
"20/02/2020","116.518","114.586","-1,66","114.379","116.552","25,65B"
"13/08/2020","102.118","100.461","-1,62","100.187","103.237","32,94B"
"23/09/2020","97.294","95.735","-1,60","95.728","97.389","26,18B"
"04/08/2020","102.826","101.216","-1,57","100.005","103.012","40,35B"
"21/01/2020","118.861","117.026","-1,54","117.026","118.861","22,51B"
"02/10/2020","95.475","94.016","-1,53","93.897","95.996","23,98B"
"30/11/2020","110.598","108.893","-1,52","108.829","110.934","52,62B"
"12/05/2020","79.065","77.872","-1,51","77.872","80.344","22,77B"
"23/03/2021","114.977","113.262","-1,49","113.062","115.599","31,02B"
"11/05/2020","80.263","79.065","-1,49","78.994","80.723","21,38B"
"18/03/2021","116.549","114.835","-1,47","114.302","116.751","35,96B"
"11/01/2021","125.075","123.255","-1,46","122.506","125.075","39,56B"
"26/08/2020","102.119","100.627","-1,46","99.359","102.521","29,37B"
"04/08/2021","123.577","121.801","-1,44","121.072","123.587","33,39B"
"06/07/2021","126.919","125.095","-1,44","124.866","126.919","30,19B"
"27/10/2020","101.017","99.606","-1,40","99.414","101.660","26,41B"
"15/04/2020","79.911","78.831","-1,36","77.546","80.035","97,61B"
"13/07/2020","100.027","98.697","-1,33","98.697","100.858","28,27B"
"21/09/2020","98.283","96.991","-1,32","95.820","98.283","39,22B"
"07/08/2020","104.116","102.776","-1,30","101.957","104.126","29,28B"
"16/04/2020","78.837","77.812","-1,29","77.452","80.167","21,20B"
"22/06/2020","96.572","95.336","-1,28","94.869","96.870","23,20B"
"04/05/2021","119.209","117.712","-1,26","117.631","119.293","35,73B"
"23/04/2020","80.690","79.673","-1,26","78.622","81.934","24,76B"
"08/07/2021","127.013","125.428","-1,25","124.310","127.013","35,07B"
"19/07/2021","125.958","124.395","-1,24","123.317","125.958","33,38B"
"11/08/2020","103.449","102.174","-1,23","102.174","104.409","28,59B"
"07/02/2020","115.190","113.770","-1,23","113.769","115.190","24,89B"
"16/07/2020","101.791","100.553","-1,22","100.160","101.792","24,00B"
"07/05/2020","79.072","78.119","-1,20","78.061","80.061","30,96B"
"19/08/2020","102.072","100.854","-1,19","100.800","102.334","27,97B"
"07/07/2020","98.937","97.761","-1,19","97.272","98.938","25,54B"
"16/07/2021","127.468","125.960","-1,18","125.808","128.010","30,86B"
"01/04/2021","116.644","115.253","-1,18","114.991","117.088","31,94B"
"08/09/2020","101.239","100.050","-1,18","99.373","101.239","26,14B"
"03/09/2020","101.911","100.721","-1,17","99.751","103.226","39,39B"
"29/09/2020","94.665","93.580","-1,15","93.408","95.505","24,54B"
"28/05/2020","87.946","86.949","-1,13","86.767","88.091","23,79B"
"14/02/2020","115.663","114.381","-1,11","114.132","115.663","19,96B"
"27/07/2021","126.004","124.612","-1,10","123.670","126.026","29,50B"
"21/01/2021","119.628","118.329","-1,10","117.785","120.243","35,43B"
"22/03/2021","116.222","114.979","-1,07","113.620","116.225","n/d"
"24/03/2021","113.272","112.064","-1,06","112.064","114.823","34,24B"
"18/11/2020","107.246","106.119","-1,05","106.043","107.467","33,80B"
"10/02/2020","113.771","112.570","-1,05","112.134","114.176","29,36B"
"15/01/2020","117.632","116.414","-1,04","116.188","117.632","32,34B"
"22/05/2020","83.027","82.173","-1,03","81.669","83.027","21,49B"
"03/03/2020","106.630","105.537","-1,02","104.405","108.804","34,40B"
"06/01/2020","117.707","116.592","-1,01","116.269","117.707","21,57B"
"27/04/2021","120.595","119.388","-1,00","119.003","121.012","34,47B"
"30/04/2021","120.064","118.894","-0,98","118.894","120.125","45,47B"
"18/02/2021","120.361","119.199","-0,96","118.515","120.845","40,83B"
"24/01/2020","119.528","118.376","-0,96","118.108","119.593","19,83B"
"29/01/2020","116.494","115.385","-0,94","115.164","117.171","20,18B"
"17/06/2021","129.259","128.057","-0,93","127.576","129.919","38,17B"
"09/06/2020","97.644","96.747","-0,92","95.386","97.644","31,41B"
"01/07/2021","126.802","125.666","-0,90","124.994","127.204","36,92B"
"23/07/2021","126.140","125.053","-0,87","124.422","126.204","25,85B"
"10/02/2021","119.472","118.435","-0,87","117.970","119.738","37,31B"
"13/02/2020","116.660","115.662","-0,87","114.801","116.660","21,86B"
"25/05/2021","124.032","122.988","-0,84","122.701","124.696","32,83B"
"29/04/2021","121.053","120.066","-0,82","119.703","121.498","35,74B"
"20/01/2021","120.645","119.646","-0,82","118.740","121.449","32,14B"
"22/01/2021","118.318","117.380","-0,80","116.109","118.318","34,05B"
"21/02/2020","114.585","113.681","-0,79","112.661","114.585","22,00B"
"26/01/2021","117.381","116.464","-0,78","116.109","119.167","38,44B"
"31/01/2020","115.518","113.761","-0,77","113.148","115.518","24,46B"
"08/06/2021","130.776","129.787","-0,76","129.230","130.776","40,16B"
"16/10/2020","99.054","98.309","-0,75","98.309","99.172","22,59B"
"15/07/2021","128.407","127.468","-0,73","126.922","128.976","31,62B"
"20/04/2021","120.925","120.062","-0,72","119.841","121.354","32,04B"
"16/03/2021","114.845","114.019","-0,72","113.536","114.067","28,74B"
"12/03/2021","114.984","114.160","-0,72","113.253","114.984","32,88B"
"06/02/2020","116.033","115.190","-0,72","114.723","117.382","28,49B"
"30/06/2020","95.728","95.056","-0,71","94.806","96.257","27,40B"
"03/01/2020","118.564","117.781","-0,67","117.341","118.564","7,68B"
"09/12/2020","113.799","113.001","-0,66","112.567","114.020","32,09B"
"23/10/2020","101.918","101.260","-0,65","101.188","102.218","22,85B"
"16/06/2021","130.091","129.259","-0,64","128.345","130.283","93,84B"
"19/02/2021","119.199","118.431","-0,64","117.867","119.250","38,68B"
