Date,Open,High,Low,Close,Adj Close,Volume,variacao,var_dia,day_name,month_name,dia,mes,ano
2021-01-04,119024.0,120354.0,118062.0,118558.0,118558.0,8741400.0,-466.0,negativa,Monday,January,4,1,2021
2021-01-05,118835.0,119790.0,116756.0,119223.0,119223.0,9257100.0,388.0,positiva,Tuesday,January,5,1,2021
2021-01-06,119377.0,120924.0,118917.0,119851.0,119851.0,11638200.0,474.0,positiva,Wednesday,January,6,1,2021
2021-01-07,119103.0,121983.0,119101.0,121956.0,121956.0,11774800.0,2853.0,positiva,Thursday,January,7,1,2021
2021-01-08,122387.0,125324.0,122386.0,125077.0,125077.0,11085800.0,2690.0,positiva,Friday,January,8,1,2021
2021-01-11,125075.0,125075.0,122506.0,122807.0,122807.0,9537600.0,-2268.0,negativa,Monday,January,11,1,2021
2021-01-12,123255.0,124584.0,123227.0,123998.0,123998.0,8949000.0,743.0,positiva,Tuesday,January,12,1,2021
2021-01-13,123996.0,124032.0,121016.0,122040.0,122040.0,10291500.0,-1956.0,negativa,Wednesday,January,13,1,2021
2021-01-14,121947.0,123896.0,121947.0,123481.0,123481.0,8974400.0,1534.0,positiva,Thursday,January,14,1,2021
2021-01-15,123472.0,123472.0,120374.0,120502.0,120502.0,9387600.0,-2970.0,negativa,Friday,January,15,1,2021
2021-01-18,120351.0,122586.0,120351.0,121242.0,121242.0,7223100.0,891.0,positiva,Monday,January,18,1,2021
2021-01-19,121250.0,122120.0,119257.0,120673.0,120673.0,7886000.0,-577.0,negativa,Tuesday,January,19,1,2021
2021-01-20,120645.0,121449.0,118740.0,119708.0,119708.0,7947300.0,-937.0,negativa,Wednesday,January,20,1,2021
2021-01-21,119628.0,120243.0,117785.0,118443.0,118443.0,8573900.0,-1185.0,negativa,Thursday,January,21,1,2021
2021-01-22,118318.0,118318.0,116109.0,117172.0,117172.0,9373100.0,-1146.0,negativa,Friday,January,22,1,2021
2021-01-26,117381.0,119167.0,116109.0,116464.0,116464.0,10681400.0,-917.0,negativa,Tuesday,January,26,1,2021
2021-01-27,116463.0,117840.0,114887.0,115882.0,115882.0,12380400.0,-581.0,negativa,Wednesday,January,27,1,2021
2021-01-28,115882.0,119314.0,115734.0,119314.0,119314.0,12065900.0,3432.0,positiva,Thursday,January,28,1,2021
2021-01-29,118880.0,118880.0,115299.0,116007.0,116007.0,10965200.0,-2873.0,negativa,Friday,January,29,1,2021
2021-02-01,115093.0,117862.0,115093.0,117365.0,117365.0,8716500.0,2272.0,positiva,Monday,February,1,2,2021
2021-02-02,117520.0,119805.0,117519.0,118234.0,118234.0,11625900.0,714.0,positiva,Tuesday,February,2,2,2021
2021-02-03,118235.0,120210.0,118234.0,119725.0,119725.0,8704300.0,1490.0,positiva,Wednesday,February,3,2,2021
2021-02-04,119728.0,120560.0,118918.0,119261.0,119261.0,8100700.0,-467.0,negativa,Thursday,February,4,2,2021
2021-02-05,119261.0,121117.0,119261.0,119925.0,119925.0,8208400.0,664.0,positiva,Friday,February,5,2,2021
2021-02-08,120239.0,120844.0,119140.0,119516.0,119516.0,8619100.0,-723.0,negativa,Monday,February,8,2,2021
2021-02-09,119696.0,119975.0,118246.0,119429.0,119429.0,7913500.0,-267.0,negativa,Tuesday,February,9,2,2021
2021-02-10,119472.0,119738.0,117970.0,118430.0,118430.0,8644600.0,-1042.0,negativa,Wednesday,February,10,2,2021
2021-02-11,118440.0,120283.0,118440.0,119235.0,119235.0,7567400.0,795.0,positiva,Thursday,February,11,2,2021
2021-02-12,119300.0,119763.0,118163.0,119116.0,119116.0,7655900.0,-184.0,negativa,Friday,February,12,2,2021
2021-02-17,,,,,,,,,Wednesday,February,17,2,2021
2021-02-18,120361.0,120845.0,118515.0,119140.0,119140.0,10720600.0,-1221.0,negativa,Thursday,February,18,2,2021
2021-02-19,119199.0,119250.0,117867.0,118748.0,118748.0,10402800.0,-451.0,negativa,Friday,February,19,2,2021
2021-02-22,118388.0,118388.0,111650.0,112668.0,112668.0,21768700.0,-5720.0,negativa,Monday,February,22,2,2021
2021-02-23,112676.0,115380.0,112667.0,115227.0,115227.0,15174900.0,2551.0,positiva,Tuesday,February,23,2,2021
2021-02-24,115229.0,116208.0,114668.0,115668.0,115668.0,11399300.0,439.0,positiva,Wednesday,February,24,2,2021
2021-02-25,115668.0,116506.0,111764.0,112256.0,112256.0,12466500.0,-3412.0,negativa,Thursday,February,25,2,2021
2021-02-26,112260.0,113466.0,109827.0,110035.0,110035.0,14618500.0,-2225.0,negativa,Friday,February,26,2,2021
2021-03-01,110036.0,112445.0,110036.0,110335.0,110335.0,11239900.0,299.0,positiva,Monday,March,1,3,2021
2021-03-02,110328.0,112428.0,107319.0,111540.0,111540.0,14823200.0,1212.0,positiva,Tuesday,March,2,3,2021
2021-03-03,111529.0,112398.0,107466.0,111184.0,111184.0,15144300.0,-345.0,negativa,Wednesday,March,3,3,2021
2021-03-04,111191.0,114433.0,111163.0,112690.0,112690.0,14221600.0,1499.0,positiva,Thursday,March,4,3,2021
2021-03-05,112690.0,115504.0,112504.0,115202.0,115202.0,13254800.0,2512.0,positiva,Friday,March,5,3,2021
2021-03-08,115202.0,115202.0,110268.0,110612.0,110612.0,0.0,-4590.0,negativa,Monday,March,8,3,2021
2021-03-09,110611.0,112525.0,109343.0,111331.0,111331.0,12135300.0,720.0,positiva,Tuesday,March,9,3,2021
2021-03-10,111331.0,112928.0,109999.0,112776.0,112776.0,12511800.0,1445.0,positiva,Wednesday,March,10,3,2021
2021-03-11,112782.0,115127.0,112776.0,114984.0,114984.0,12092100.0,2202.0,positiva,Thursday,March,11,3,2021
2021-03-12,114984.0,114984.0,113253.0,114160.0,114160.0,8110700.0,-824.0,negativa,Friday,March,12,3,2021
2021-03-15,114093.0,114903.0,113635.0,114851.0,114851.0,8224700.0,758.0,positiva,Monday,March,15,3,2021
2021-03-16,114845.0,114974.0,113370.0,114019.0,114019.0,78000.0,-826.0,negativa,Tuesday,March,16,3,2021
2021-03-17,114018.0,116736.0,113428.0,116549.0,116549.0,94300.0,2531.0,positiva,Wednesday,March,17,3,2021
2021-03-18,116549.0,116751.0,114302.0,114835.0,114835.0,9920100.0,-1714.0,negativa,Thursday,March,18,3,2021
2021-03-19,114837.0,116446.0,114610.0,116222.0,116222.0,12341800.0,1385.0,positiva,Friday,March,19,3,2021
2021-03-22,116222.0,116225.0,113620.0,114979.0,114979.0,8160600.0,-1243.0,negativa,Monday,March,22,3,2021
2021-03-23,114977.0,115599.0,113062.0,113262.0,113262.0,8301500.0,-1715.0,negativa,Tuesday,March,23,3,2021
2021-03-24,113272.0,114823.0,112064.0,112064.0,112064.0,9834000.0,-1208.0,negativa,Wednesday,March,24,3,2021
2021-03-25,112065.0,114024.0,110927.0,113750.0,113750.0,10306500.0,1685.0,positiva,Thursday,March,25,3,2021
2021-03-26,113750.0,115416.0,113305.0,114781.0,114781.0,8659500.0,1031.0,positiva,Friday,March,26,3,2021
2021-03-29,114776.0,115553.0,114096.0,115419.0,115419.0,7463300.0,643.0,positiva,Monday,March,29,3,2021
2021-03-30,115414.0,117090.0,114999.0,116850.0,116850.0,8141600.0,1436.0,positiva,Tuesday,March,30,3,2021
2021-03-31,116850.0,117249.0,115932.0,116634.0,116634.0,10659200.0,-216.0,negativa,Wednesday,March,31,3,2021
2021-04-01,116644.0,117088.0,114991.0,115253.0,115253.0,8009200.0,-1391.0,negativa,Thursday,April,1,4,2021
2021-04-05,115262.0,117668.0,115262.0,117518.0,117518.0,7245100.0,2256.0,positiva,Monday,April,5,4,2021
2021-04-06,117519.0,118213.0,117176.0,117499.0,117499.0,6800800.0,-20.0,negativa,Tuesday,April,6,4,2021
2021-04-07,117499.0,118303.0,116748.0,117624.0,117624.0,0.0,125.0,positiva,Wednesday,April,7,4,2021
2021-04-08,117624.0,118850.0,117486.0,118313.0,118313.0,8778200.0,689.0,positiva,Thursday,April,8,4,2021
2021-04-09,118313.0,118643.0,117336.0,117670.0,117670.0,7739400.0,-643.0,negativa,Friday,April,9,4,2021
2021-04-12,117661.0,118812.0,117661.0,118812.0,118812.0,7000500.0,1151.0,positiva,Monday,April,12,4,2021
2021-04-13,118809.0,119529.0,118041.0,119297.0,119297.0,8977600.0,488.0,positiva,Tuesday,April,13,4,2021
2021-04-14,119298.0,120871.0,119298.0,120295.0,120295.0,10076600.0,997.0,positiva,Wednesday,April,14,4,2021
2021-04-15,120290.0,121409.0,120084.0,120701.0,120701.0,7948100.0,411.0,positiva,Thursday,April,15,4,2021
2021-04-16,120701.0,121333.0,120199.0,121114.0,121114.0,7945600.0,413.0,positiva,Friday,April,16,4,2021
2021-04-19,121116.0,121974.0,120682.0,120934.0,120934.0,10028100.0,-182.0,negativa,Monday,April,19,4,2021
2021-04-20,120925.0,121354.0,119841.0,120062.0,120062.0,7811500.0,-863.0,negativa,Tuesday,April,20,4,2021
2021-04-22,120064.0,120995.0,119203.0,119371.0,119371.0,8598600.0,-693.0,negativa,Thursday,April,22,4,2021
2021-04-23,119372.0,120815.0,119372.0,120530.0,120530.0,7615500.0,1158.0,positiva,Friday,April,23,4,2021
2021-04-26,120534.0,121393.0,119860.0,120595.0,120595.0,7095300.0,61.0,positiva,Monday,April,26,4,2021
2021-04-27,120595.0,121012.0,119003.0,119388.0,119388.0,8362300.0,-1207.0,negativa,Tuesday,April,27,4,2021
2021-04-28,119392.0,121276.0,119392.0,121053.0,121053.0,9081500.0,1661.0,positiva,Wednesday,April,28,4,2021
2021-04-29,121053.0,121498.0,119703.0,120066.0,120066.0,8500200.0,-987.0,negativa,Thursday,April,29,4,2021
2021-04-30,120064.0,120125.0,118894.0,118894.0,118894.0,11093200.0,-1170.0,negativa,Friday,April,30,4,2021
2021-05-03,118951.0,119904.0,118528.0,119209.0,119209.0,8888300.0,258.0,positiva,Monday,May,3,5,2021
2021-05-04,119209.0,119293.0,117631.0,117712.0,117712.0,8765500.0,-1497.0,negativa,Tuesday,May,4,5,2021
2021-05-05,117725.0,119734.0,117725.0,119564.0,119564.0,9059100.0,1839.0,positiva,Wednesday,May,5,5,2021
2021-05-06,119577.0,119966.0,119071.0,119921.0,119921.0,8779600.0,344.0,positiva,Thursday,May,6,5,2021
2021-05-07,119922.0,122038.0,119922.0,122038.0,122038.0,8865100.0,2116.0,positiva,Friday,May,7,5,2021
2021-05-10,122038.0,122772.0,121795.0,121909.0,121909.0,8219100.0,-129.0,negativa,Monday,May,10,5,2021
2021-05-11,121904.0,122964.0,120145.0,122964.0,122964.0,7988600.0,1060.0,positiva,Tuesday,May,11,5,2021
2021-05-12,122964.0,122964.0,119458.0,119710.0,119710.0,9405200.0,-3254.0,negativa,Wednesday,May,12,5,2021
2021-05-13,119711.0,121426.0,119711.0,120706.0,120706.0,9356200.0,995.0,positiva,Thursday,May,13,5,2021
2021-05-14,120719.0,122195.0,120719.0,121881.0,121881.0,10136300.0,1162.0,positiva,Friday,May,14,5,2021
2021-05-17,121880.0,123074.0,121680.0,122938.0,122938.0,7408100.0,1058.0,positiva,Monday,May,17,5,2021
2021-05-18,122937.0,123544.0,122550.0,122980.0,122980.0,7840100.0,43.0,positiva,Tuesday,May,18,5,2021
2021-05-19,122976.0,123013.0,121595.0,122636.0,122636.0,8825300.0,-340.0,negativa,Wednesday,May,19,5,2021
2021-05-20,122636.0,122734.0,122136.0,122701.0,122701.0,7906400.0,65.0,positiva,Thursday,May,20,5,2021
2021-05-21,122701.0,122799.0,121760.0,122592.0,122592.0,9493600.0,-109.0,negativa,Friday,May,21,5,2021
2021-05-24,122592.0,124167.0,122526.0,124032.0,124032.0,8186300.0,1440.0,positiva,Monday,May,24,5,2021
2021-05-25,124032.0,124696.0,122701.0,122988.0,122988.0,8914500.0,-1044.0,negativa,Tuesday,May,25,5,2021
2021-05-26,122988.0,124256.0,122988.0,123989.0,123989.0,8258400.0,1001.0,positiva,Wednesday,May,26,5,2021
2021-05-27,123989.0,124537.0,123470.0,124367.0,124367.0,0.0,378.0,positiva,Thursday,May,27,5,2021
2021-05-28,124367.0,125698.0,124284.0,125561.0,125561.0,8838500.0,1194.0,positiva,Friday,May,28,5,2021
2021-05-31,125561.0,126216.0,125540.0,126216.0,126216.0,5946500.0,655.0,positiva,Monday,May,31,5,2021
2021-06-01,126218.0,128363.0,126218.0,128267.0,128267.0,12496100.0,2049.0,positiva,Tuesday,June,1,6,2021
2021-06-02,128268.0,129601.0,128167.0,129601.0,129601.0,12781100.0,1333.0,positiva,Wednesday,June,2,6,2021
2021-06-04,129600.0,130137.0,129148.0,130126.0,130126.0,9814800.0,526.0,positiva,Friday,June,4,6,2021
2021-06-07,130125.0,131190.0,129498.0,130776.0,130776.0,9655400.0,651.0,positiva,Monday,June,7,6,2021
2021-06-08,130776.0,130776.0,129230.0,129787.0,129787.0,10346600.0,-989.0,negativa,Tuesday,June,8,6,2021
2021-06-09,129800.0,130882.0,129281.0,129907.0,129907.0,9833700.0,107.0,positiva,Wednesday,June,9,6,2021
2021-06-10,129911.0,130527.0,129526.0,130076.0,130076.0,8537900.0,165.0,positiva,Thursday,June,10,6,2021
2021-06-11,130076.0,130294.0,128678.0,129441.0,129441.0,7748200.0,-635.0,negativa,Friday,June,11,6,2021
2021-06-14,129441.0,131084.0,129441.0,130208.0,130208.0,8155700.0,767.0,positiva,Monday,June,14,6,2021
2021-06-15,130208.0,130436.0,129304.0,130091.0,130091.0,7211500.0,-117.0,negativa,Tuesday,June,15,6,2021
2021-06-16,130091.0,130283.0,128345.0,129259.0,129259.0,12879400.0,-832.0,negativa,Wednesday,June,16,6,2021
2021-06-17,129259.0,129919.0,127576.0,128057.0,128057.0,9664700.0,-1202.0,negativa,Thursday,June,17,6,2021
2021-06-18,128050.0,128796.0,127595.0,128405.0,128405.0,12432000.0,355.0,positiva,Friday,June,18,6,2021
2021-06-21,128405.0,129412.0,128048.0,129265.0,129265.0,7333600.0,860.0,positiva,Monday,June,21,6,2021
2021-06-22,129242.0,129259.0,127803.0,128767.0,128767.0,9328000.0,-475.0,negativa,Tuesday,June,22,6,2021
2021-06-23,128769.0,129901.0,128182.0,128428.0,128428.0,7988900.0,-341.0,negativa,Wednesday,June,23,6,2021
2021-06-24,128433.0,129541.0,128428.0,129514.0,129514.0,7237000.0,1081.0,positiva,Thursday,June,24,6,2021
2021-06-25,129513.0,129748.0,126697.0,127256.0,127256.0,9363800.0,-2257.0,negativa,Friday,June,25,6,2021
2021-06-28,127255.0,128067.0,126629.0,127429.0,127429.0,8155600.0,174.0,positiva,Monday,June,28,6,2021
2021-06-29,127429.0,127507.0,126184.0,127327.0,127327.0,7777900.0,-102.0,negativa,Tuesday,June,29,6,2021
2021-06-30,127323.0,127323.0,126199.0,126802.0,126802.0,9098600.0,-521.0,negativa,Wednesday,June,30,6,2021
2021-07-01,126802.0,127204.0,124994.0,125666.0,125666.0,9292000.0,-1136.0,negativa,Thursday,July,1,7,2021
2021-07-02,125667.0,127672.0,125667.0,127622.0,127622.0,7434800.0,1955.0,positiva,Friday,July,2,7,2021
2021-07-05,127622.0,127633.0,126531.0,126920.0,126920.0,5255600.0,-702.0,negativa,Monday,July,5,7,2021
2021-07-06,126919.0,126919.0,124866.0,125095.0,125095.0,7651300.0,-1824.0,negativa,Tuesday,July,6,7,2021
2021-07-07,125096.0,127249.0,125094.0,127019.0,127019.0,8151400.0,1923.0,positiva,Wednesday,July,7,7,2021
2021-07-08,127013.0,127013.0,124310.0,125428.0,125428.0,8881400.0,-1585.0,negativa,Thursday,July,8,7,2021
2021-07-12,125428.0,127782.0,125428.0,127594.0,127594.0,7421600.0,2166.0,positiva,Monday,July,12,7,2021
2021-07-13,127594.0,128420.0,126441.0,128168.0,128168.0,7152000.0,574.0,positiva,Tuesday,July,13,7,2021
2021-07-14,128169.0,129620.0,128085.0,128407.0,128407.0,0.0,238.0,positiva,Wednesday,July,14,7,2021
2021-07-15,128407.0,128976.0,126922.0,127468.0,127468.0,7418600.0,-939.0,negativa,Thursday,July,15,7,2021
2021-07-16,127468.0,128010.0,125808.0,125960.0,125960.0,7355800.0,-1508.0,negativa,Friday,July,16,7,2021
2021-07-19,125958.0,125958.0,123317.0,124395.0,124395.0,9210200.0,-1563.0,negativa,Monday,July,19,7,2021
2021-07-20,124395.0,125631.0,123631.0,125401.0,125401.0,7627500.0,1006.0,positiva,Tuesday,July,20,7,2021
