id,Salario,Perfil,Ativo01,Ativo02,Ativo03,Ativo04,Ativo05,Ativo06,Ativo07,Nota1,Nota2
id0000859,$51483.81,Agressivo,1273.95,5080.37,3565.44,,5635.72,,513.38,47.599277878687715,7.057028252320475
id0022202,$457.43,Conservador,1121.09,4927.51,3911.58,5511.7,5593.4,,497.28,37.35375667632985,61.51666532681599
id0002056,$93245.46,Moderado,,5283.71,2914.76,,4707.33,,499.06,98.89540666233539,45.197865735994434
id0005674,$3044.00,Agressivo,1353.76,5827.28,2998.24,16341.7,4712.65,2007.44,515.1,50.658089313463414,65.66073546570134
id0004777,$880.30,Agressivo,,5695.77,3525.98,,4147.29,,506.77,72.99388186791721,55.530579847525395
id0017369,$41.61,Agressivo,1511.84,4505.14,3194.43,14782.47,4040.47,,502.09,,18.49897528510719
id0011594,$31822.77,Conservador,1180.98,4754.37,2812.15,23236.91,6496.04,2122.96,492.85,77.73630962121703,83.32989216117181
id0018309,$71.73,Moderado,1256.95,5696.01,3745.73,18349.69,4491.45,,500.31,46.794544211063894,42.950364921332685
id0031874,$31938.24,Moderado,1167.86,5032.67,,14204.75,5444.83,2519.63,501.35,70.7026043415649,21.440298887537523
id0000389,$6.49,Agressivo,1125.42,5257.99,3558.66,12411.65,6129.65,2253.41,484.73,9.088996348401201,33.80674053375845
id0020233,$158.14,Agressivo,1276.88,5464.17,2705.91,,4132.88,2837.78,491.39,7.986304934683641,83.13866500398413
id0031291,$94587.36,Conservador,920.53,,2648.26,34236.97,,2120.4,499.62,28.45259814734693,66.49456305842864
id0035908,$4.21,Moderado,,4923.4,3286.63,,6236.77,,501.47,42.70701086415548,29.5316931652448
id0017223,$39629.42,Conservador,1666.34,4686.4,3193.81,17358.17,4986.2,2091.8,502.01,38.1726147737706,48.54841936196672
id0001981,$6.51,Conservador,1001.16,4746.24,2862.38,,5900.12,2338.75,509.82,1.0483373192770928,75.17063592600913
id0029939,$88.34,Conservador,870.5,4928.57,3504.01,13890.09,,,528.62,29.24213009578316,79.86170327871187
id0004934,$52.28,Agressivo,878.07,5060.58,3404.74,14124.5,,2840.69,481.83,90.98145877129912,75.7140384628309
id0032271,$0.87,Moderado,836.33,5616.72,2667.71,10909.69,,2062.95,510.78,6.649848987807649,67.65972217893001
id0016692,$81264.88,Conservador,1123.61,4842.65,3203.35,25598.97,4553.17,,492.39,36.88744499786385,14.945691154625052
id0022520,$150.03,Agressivo,1038.45,5330.62,,23042.54,,,506.41,80.23735414385281,17.763933678184472
id0022394,$3.60,Conservador,915.88,5140.9,3804.07,,5307.23,2045.47,488.69,3.4258330257884606,58.45548660212041
id0032159,$206.45,Moderado,872.4,5054.79,2889.46,28199.28,5401.15,,491.24,10.675813205462259,52.33997858651259
id0007883,$52035.63,Moderado,883.22,5572.56,2607.21,10489.98,6580.35,,501.08,32.15568023247699,43.71669561483591
id0001790,$291.55,Agressivo,,4908.46,3601.37,6831.87,,2654.72,503.18,6.690678662956362,79.5569992580454
id0001203,$66.79,Moderado,1232.95,4898.12,2736.88,22381.06,4985.6,2399.63,499.21,16.48972006527274,37.69810746485626
id0015534,$885.61,Conservador,1397.92,5255.3,2791.0,12906.13,4372.39,,489.28,65.96038172923797,3.202497342262489
id0013211,$76617.92,Agressivo,1333.85,4587.13,3417.75,,4493.24,2250.48,489.25,81.6238729669122,
id0013714,$8927.67,Conservador,1410.55,4529.89,2607.21,,6029.31,2333.87,496.66,35.221164850591954,7.282537113647725
id0031294,$64.92,Conservador,1189.39,4723.2,3149.11,,5072.64,2485.31,511.86,4.810124909770764,96.32830649408555
id0017202,$1.27,Agressivo,1093.84,5225.77,2543.2,,6460.6,,502.1,88.42160808223849,71.82218790421211
id0031058,$11.72,Conservador,1423.28,5394.04,3325.03,21906.96,4913.49,2146.25,505.63,79.72028612583223,56.08198458829956
id0002251,$377.43,Moderado,907.87,5151.35,3014.04,,,,483.86,63.67715992221409,31.590673081723864
id0020782,$3431.18,Conservador,1047.07,5436.73,,6527.46,4866.9,2264.51,501.01,85.93094420562048,25.603594942681738
id0011312,$65.29,Moderado,,,2546.95,9366.13,4649.94,,499.55,92.01455909620611,33.866291596731216
id0023466,$81219.30,Moderado,,5258.91,2589.19,20024.08,5022.4,2403.06,491.77,28.114721076690653,28.04234144632012
