vlr	date	produto
1006194647.35054	2009-12-01	alimenticio
998697976.116292	2010-01-01	alimenticio
999418206.436106	2010-02-01	alimenticio
990000000	2010-03-01	alimenticio
994207536.01384	2010-04-01	alimenticio
995588487.70874	2010-05-01	alimenticio
992422591.268826	2010-06-01	alimenticio
993061127.498366	2010-07-01	alimenticio
1007332475.0883	2010-08-01	alimenticio
1024954444.79059	2010-09-01	alimenticio
1033973124.92957	2010-10-01	alimenticio
1037052432.6373	2010-11-01	alimenticio
1039193413.57512	2010-12-01	alimenticio
1029287796.3201	2011-01-01	alimenticio
1031732509.83096	2011-02-01	alimenticio
1021350617.71902	2011-03-01	alimenticio
1026793564.26762	2011-04-01	alimenticio
1028408812.84985	2011-05-01	alimenticio
1024000439.38804	2011-06-01	alimenticio
1024257119.48165	2011-07-01	alimenticio
1040682267.19667	2011-08-01	alimenticio
1063529057.62352	2011-09-01	alimenticio
1074981625.04891	2011-10-01	alimenticio
1079518895.91192	2011-11-01	alimenticio
1084649554.94084	2011-12-01	alimenticio
1072645672.9048	2012-01-01	alimenticio
1076227325.37838	2012-02-01	alimenticio
1064471658.42433	2012-03-01	alimenticio
1070742931.40068	2012-04-01	alimenticio
1072099977.19918	2012-05-01	alimenticio
1066083755.20644	2012-06-01	alimenticio
1065982375.98267	2012-07-01	alimenticio
1083922352.81342	2012-08-01	alimenticio
1112208621.44837	2012-09-01	alimenticio
1126313372.71611	2012-10-01	alimenticio
1133527440.20031	2012-11-01	alimenticio
1143054459.04041	2012-12-01	alimenticio
1130010065.68355	2013-01-01	alimenticio
1134792990.03555	2013-02-01	alimenticio
1122319122.9079	2013-03-01	alimenticio
1128956855.40956	2013-04-01	alimenticio
1129340191.8619	2013-05-01	alimenticio
1122137382.67294	2013-06-01	alimenticio
1121566570.85244	2013-07-01	alimenticio
1140466116.95906	2013-08-01	alimenticio
1173860310.75088	2013-09-01	alimenticio
1190157191.31108	2013-10-01	alimenticio
1200322427.87318	2013-11-01	alimenticio
1214929698.48677	2013-12-01	alimenticio
1201253154.43464	2014-01-01	alimenticio
1207166602.97639	2014-02-01	alimenticio
1195214431.28754	2014-03-01	alimenticio
1202409358.733	2014-04-01	alimenticio
1201434684.3212	2014-05-01	alimenticio
1193364120.60853	2014-06-01	alimenticio
1192670003.72644	2014-07-01	alimenticio
1212490911.11306	2014-08-01	alimenticio
1250798092.16128	2014-09-01	alimenticio
1268743521.70844	2014-10-01	alimenticio
1281394751.66071	2014-11-01	alimenticio
1301170740.37594	2014-12-01	alimenticio
1286556450.35295	2015-01-01	alimenticio
1293572665.52743	2015-02-01	alimenticio
1281798560.06047	2015-03-01	alimenticio
1289491391.90122	2015-04-01	alimenticio
1286288820.19098	2015-05-01	alimenticio
1276787135.49886	2015-06-01	alimenticio
1275834166.63809	2015-07-01	alimenticio
1296169155.062	2015-08-01	alimenticio
1339191369.13695	2015-09-01	alimenticio
1357482974.87603	2015-10-01	alimenticio
1372649329.10906	2015-11-01	alimenticio
1396910502.7037	2015-12-01	alimenticio
1380546446.31841	2016-01-01	alimenticio
1388043994.85555	2016-02-01	alimenticio
1375352667.77959	2016-03-01	alimenticio
1384431704.70359	2016-04-01	alimenticio
1379003428.98111	2016-05-01	alimenticio
1367059383.61056	2016-06-01	alimenticio
1364440574.56881	2016-07-01	alimenticio
1384889224.35586	2016-08-01	alimenticio
1432610365.17468	2016-09-01	alimenticio
1450425428.7734	2016-10-01	alimenticio
1467658937.86564	2016-11-01	alimenticio
1494980899.63471	2016-12-01	alimenticio
1475568718.01448	2017-01-01	alimenticio
1483431003.34592	2017-02-01	alimenticio
1469302883.18004	2017-03-01	alimenticio
1479457991.65553	2017-04-01	alimenticio
1472814256.96197	2017-05-01	alimenticio
1458651928.73111	2017-06-01	alimenticio
1453614282.60723	2017-07-01	alimenticio
1474640768.75804	2017-08-01	alimenticio
1527838741.26659	2017-09-01	alimenticio
1544922904.21048	2017-10-01	alimenticio
1564955976.7706	2017-11-01	alimenticio
1595068807.18311	2017-12-01	alimenticio
1571210203.27492	2018-01-01	alimenticio
1579231387.92036	2018-02-01	alimenticio
1563675889.53934	2018-03-01	alimenticio
1575687467.80305	2018-04-01	alimenticio
1568833779.18687	2018-05-01	alimenticio
1553118420.57962	2018-06-01	alimenticio
1545697595.51249	2018-07-01	alimenticio
1567419678.6585	2018-08-01	alimenticio
1626435989.17602	2018-09-01	alimenticio
1643129309.85957	2018-10-01	alimenticio
1667933545.86283	2018-11-01	alimenticio
1702072590.99367	2018-12-01	alimenticio
1674156295.88571	2019-01-01	alimenticio
1681685688.24835	2019-02-01	alimenticio
1665024227.91988	2019-03-01	alimenticio
1680024843.55724	2019-04-01	alimenticio
1672539886.77155	2019-05-01	alimenticio
1655400739.64098	2019-06-01	alimenticio
1645659246.98456	2019-07-01	alimenticio
1668730654.48386	2019-08-01	alimenticio
1733409778.47103	2019-09-01	alimenticio
1749561625.13224	2019-10-01	alimenticio
1779322821.68658	2019-11-01	alimenticio
1817801597.34677	2019-12-01	alimenticio
1786547874.8083	2020-01-01	alimenticio
1793021513.73001	2020-02-01	alimenticio
1775714452.19367	2020-03-01	alimenticio
1793423272.6603	2020-04-01	alimenticio
1784002662.59746	2020-05-01	alimenticio
1765983005.21073	2020-06-01	alimenticio
1753694344.81225	2020-07-01	alimenticio
1778583065.01193	2020-08-01	alimenticio
1848745593.44758	2020-09-01	alimenticio
1864253654.44784	2020-10-01	alimenticio
1899631925.52825	2020-11-01	alimenticio
1943519698.42514	2020-12-01	alimenticio
1909206387.1063	2021-01-01	alimenticio
1913097928.78377	2021-02-01	alimenticio
1896199360.14889	2021-03-01	alimenticio
1917247109.75858	2021-04-01	alimenticio
1905829698.58933	2021-05-01	alimenticio
1887380942.1807	2021-06-01	alimenticio
1872678449.90111	2021-07-01	alimenticio
1899408288.45764	2021-08-01	alimenticio
1975178739.56895	2021-09-01	alimenticio
1990000000	2021-10-01	alimenticio
153270697.691544	2015-01-01	transporte
159002541.174173	2015-02-01	transporte
157049533.429416	2015-03-01	transporte
157223627.077092	2015-04-01	transporte
155988609.687317	2015-05-01	transporte
155054818.249728	2015-06-01	transporte
156795427.704781	2015-07-01	transporte
157239601.774349	2015-08-01	transporte
160281827.106899	2015-09-01	transporte
165128858.688106	2015-10-01	transporte
164573368.023059	2015-11-01	transporte
159379657.18996	2015-12-01	transporte
159612172.94983	2016-01-01	transporte
162939356.96088	2016-02-01	transporte
163366026.222183	2016-03-01	transporte
166216812.542465	2016-04-01	transporte
166190297.221193	2016-05-01	transporte
161358792.540477	2016-06-01	transporte
162592848.730312	2016-07-01	transporte
161393740.719451	2016-08-01	transporte
155919607.0531	2016-09-01	transporte
